=== CFS input values ===
num_process = 10
sched_latency = 80
min_granularity = 6
burst_time = [30,30,30,30,30,30,30,30,30,30]
nice_value = [0,0,0,0,0,0,0,0,0,0]
=== CFS algorithm ===
=== Step 0 ===
Process	Weight	Remain	Slice
P0	1024	30	8
P1	1024	30	8
P2	1024	30	8
P3	1024	30	8
P4	1024	30	8
P5	1024	30	8
P6	1024	30	8
P7	1024	30	8
P8	1024	30	8
P9	1024	30	8
=== Step 1 ===
Process	Weight	Remain	Slice
P0	1024	22	8
P1	1024	30	8
P2	1024	30	8
P3	1024	30	8
P4	1024	30	8
P5	1024	30	8
P6	1024	30	8
P7	1024	30	8
P8	1024	30	8
P9	1024	30	8
=== Step 2 ===
Process	Weight	Remain	Slice
P0	1024	22	8
P1	1024	22	8
P2	1024	30	8
P3	1024	30	8
P4	1024	30	8
P5	1024	30	8
P6	1024	30	8
P7	1024	30	8
P8	1024	30	8
P9	1024	30	8
=== Step 3 ===
Process	Weight	Remain	Slice
P0	1024	22	8
P1	1024	22	8
P2	1024	22	8
P3	1024	30	8
P4	1024	30	8
P5	1024	30	8
P6	1024	30	8
P7	1024	30	8
P8	1024	30	8
P9	1024	30	8
=== Step 4 ===
Process	Weight	Remain	Slice
P0	1024	22	8
P1	1024	22	8
P2	1024	22	8
P3	1024	22	8
P4	1024	30	8
P5	1024	30	8
P6	1024	30	8
P7	1024	30	8
P8	1024	30	8
P9	1024	30	8
=== Step 5 ===
Process	Weight	Remain	Slice
P0	1024	22	8
P1	1024	22	8
P2	1024	22	8
P3	1024	22	8
P4	1024	22	8
P5	1024	30	8
P6	1024	30	8
P7	1024	30	8
P8	1024	30	8
P9	1024	30	8
=== Step 6 ===
Process	Weight	Remain	Slice
P0	1024	22	8
P1	1024	22	8
P2	1024	22	8
P3	1024	22	8
P4	1024	22	8
P5	1024	22	8
P6	1024	30	8
P7	1024	30	8
P8	1024	30	8
P9	1024	30	8
=== Step 7 ===
Process	Weight	Remain	Slice
P0	1024	22	8
P1	1024	22	8
P2	1024	22	8
P3	1024	22	8
P4	1024	22	8
P5	1024	22	8
P6	1024	22	8
P7	1024	30	8
P8	1024	30	8
P9	1024	30	8
=== Step 8 ===
Process	Weight	Remain	Slice
P0	1024	22	8
P1	1024	22	8
P2	1024	22	8
P3	1024	22	8
P4	1024	22	8
P5	1024	22	8
P6	1024	22	8
P7	1024	22	8
P8	1024	30	8
P9	1024	30	8
=== Step 9 ===
Process	Weight	Remain	Slice
P0	1024	22	8
P1	1024	22	8
P2	1024	22	8
P3	1024	22	8
P4	1024	22	8
P5	1024	22	8
P6	1024	22	8
P7	1024	22	8
P8	1024	22	8
P9	1024	30	8
=== Step 10 ===
Process	Weight	Remain	Slice
P0	1024	22	8
P1	1024	22	8
P2	1024	22	8
P3	1024	22	8
P4	1024	22	8
P5	1024	22	8
P6	1024	22	8
P7	1024	22	8
P8	1024	22	8
P9	1024	22	8
=== Step 11 ===
Process	Weight	Remain	Slice
P0	1024	14	8
P1	1024	22	8
P2	1024	22	8
